Algorithm,μ,ν,MSE,F1-Score,Precision,Recall,Iterations
SPG,0.1,0.1,1.7562023766116522e-05,1.0,1.0,1.0,16
ANPG,50.0,0.1,1.3495771148595718e-05,1.0,1.0,1.0,10
GANPG,50.0,0.1,1.699287007554976e-05,1.0,1.0,1.0,36
ANPG,80.0,0.1,1.3754059742688348e-05,1.0,1.0,1.0,16
GANPG,80.0,0.1,1.5408788234851622e-05,1.0,1.0,1.0,13
ANPG,100.0,0.1,1.1233852393630628e-05,1.0,1.0,1.0,14
GANPG,100.0,0.1,1.5032562491843206e-05,1.0,1.0,1.0,10
ANPG,120.0,0.1,1.0801567132200106e-05,1.0,1.0,1.0,13
GANPG,120.0,0.1,1.5066565347175144e-05,1.0,1.0,1.0,11
ANPG,200.0,0.1,1.0782439762099038e-05,1.0,1.0,1.0,20
GANPG,200.0,0.1,1.2978999347074367e-05,1.0,1.0,1.0,11
ANPG,400.0,0.1,1.1618748708449815e-05,1.0,1.0,1.0,27
GANPG,400.0,0.1,1.2079090113994199e-05,1.0,1.0,1.0,17
